Título,Descripción,Precio,Recámaras,Baños,Estacionamientos,Construidos m2,Terreno m2,Url
Casa en Senderos de Monteverde,"Moderna casa con 4 recámaras y 4 baños, todas la recámaras cuentan con baño completo y preparación para aire acondicionado. Tiene Roof Garden con medio baño. EasyBroker ID: EB-MP0805","$ 3,450,000",4.0,4.0,3.0,160.0,143.0,https://www.lamudi.com.mx/casa-en-senderos-de-monteverde-167592579379.html
Casa de Autor en Venta Zibatá,"Wiggot: pSBi4jM


Hermosa casa con espacios que permiten el paso de luz natura debido a sus ventanales. Cuenta con acabados de primera calidad.

Con vista a la reserva ecológica y montañas.

En la recamara principal cuenta con baño completo y vestidor.

Las recámaras secundarias cuentan con baño completo y closets amplios de madera.

Tiene un estudio que bien se puede adaptar como sala de juegos o 4a recámara en Roof Garden y baño completo.

Tiene cisterna de 3,500lts y tinaco de 1,500 con presurisador.

La casa se encuentra a menos de 5minutos caminando caminando de la Universidad Aáhuac, de 2 Centros Centros Comerciales, el parque público Saki y amenos de 5 minutos minutos en auto del corazón de Zibatá, el Town Center con con un hermoso lago de 9hectáreas","$ 3,995,000",3.0,4.0,2.0,184.0,148.0,https://www.lamudi.com.mx/casa-de-autor-en-venta-zibat-167403151384.html
Casa en venta Riviera Veracruzana acceso a la playa,"Casa  de 1 Nivel con 3 Recamaras en la Riviera Veracruzana, con Casa Club-Acceso  a la Playa y Boulevard ⛱","$ 3,050,000",3.0,2.5,2.0,195.0,159.0,https://www.lamudi.com.mx/casa-en-venta-con-acceso-a-la-playa-167565029564.html
estilo único- también tenemos preventa- amplios espacios- amenidades,"PLANTA BAJA:
* Cochera para 4 autos (2 techados)
* Sala, comedor y cocina amplia, todo con vista a la terraza
* Cocina con barra desayunadora
* Baño para vistas
* Terraza techada","$ 9,750,000",5.0,5.0,,500.0,650.0,https://www.lamudi.com.mx/estilo-nico-tambi-n-tenemos-preventa-amplios-espac-166883859075.html
Casa Malaga Residencial!!,"Ven y conoce uno de nuestros mejores prototipos!!

Aprovecha esta excelente oportunidad y aparta tu casa con tan solo $28,000 y disfruta de espacios amplios, jardín trasero de 40m, acabados de primera calidad, entradas controladas, 30 mil metros de áreas verdes y zona comercial con 40 locales en funcionamiento.","$ 3,100,000",3.0,2.5,2.0,136.0,144.0,https://www.lamudi.com.mx/casa-malaga-residencial-167580690925.html
CASA EN VENTA RINCONADA TIZATLALLI OPCION A 4 RECÁMARAS CON BAÑO PROPIO,"KALLIDA SERVICIOS INMOBILIARIOS

RINCONADA TIZATLLALI 

VENTA $7,150,000","$ 7,150,000",4.0,4.0,4.0,343.0,343.0,https://www.lamudi.com.mx/casa-en-venta-rinconada-tizatlalli-opcion-a-4-rec-167401261762.html
Casa en Venta Mirador del Sol,"Casa en Venta en Mirador del Sol, se encuentra dentro de la zona Metropolitana, a 1 cuadra de Patria . La casa cuenta con 3 recamaras y un estudio en planta baja, y cuarto de servicio, las calles de esta colonia son amplias y es una zona tranquila habitacional. Planta Baja: Estudio Cuarto de servicio con baño completo Sala Comedor cocina Planta Alta: 3 Recamaras 3 Baños Completos ½ Baño","$ 4,500,000",3.0,3.0,1.0,138.0,141.0,https://www.lamudi.com.mx/casa-en-venta-mirador-del-sol-167643826471.html
Casa en condominio en venta o renta San José Insurgentes.,"Hermosa casa en condominio horizontal de tan solo 12 casas en el corazón de San José Insurgentes, a media cuadra de Felix Parra. Vigilancia 24 horas. Desarollada en 3 niveles, en planta baja se encuentra área de juegos, o televisión, medio baño, cuarto de servicio con baño y área de lavado y una pequeña terraza. En el primer piso sala comedor de amplios espacios, antecomedor y cocina integral. Y en el segundo piso dos recámaras que comparten un baño y la recámara principal con vestidor, baño y un muy agradable balcón.","$ 14,150,000",3.0,2.0,3.0,276.0,100.0,https://www.lamudi.com.mx/casa-en-condominio-en-venta-o-renta-san-jos-insurg-167601557862.html
Casa con Jardín y Roof Garden,"Excelente casa con espacios confortables


213m2 de terreno

221m2 de construcción","$ 3,992,000",3.0,3.0,2.0,221.0,213.0,https://www.lamudi.com.mx/casa-con-jardin-y-roof-garden-1.html
Linda y esclusiva Casa en LA JOYA II,"Linda Casa Fraccionamiento la Joya II, Zona Diamante Metepec.

Buena ubicacion en esquina, acceso controlado, seguridad 24/7, barda electrificada, camaras de seguridad. ","$ 4,850,000",3.0,4.0,2.0,227.0,208.0,https://www.lamudi.com.mx/linda-y-esclusiva-casa-en-la-joya-ii-167606791617.html
